term,Perussuomalaiset freq,Vihreä liitto freq,Vasemmistoliitto freq,Suomen Kristillisdemokraatit (KD) freq,Kansallinen Kokoomus freq,Suomen Sosialidemokraattinen Puolue freq,Suomen Keskusta freq,Kokoomus_score,Perus_score,Keskusta_score,Krist_score,SDP_score,Vasen_score,Vihreä_score
edelläkävij ilmastonmuutoks,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
torjun puht,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
puhdistav,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
säästäv,0,0,0,0,0,2,0,0.47205054999834195,0.4729733576732623,0.471663263683927,0.47429352054303964,0.7435932927413631,0.47338367184447067,0.4706991160842901
kierrättäv,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
tehostav,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
puhdistav säästäv,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
säästäv kierrättäv,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
kierrättäv ja,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
ja tehostav,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
tehostav ratkaisu,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
ratkaisu tuova,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
tuova suome,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
suome työtä,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
planeet,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
finanssikr,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
kirj,0,0,0,0,1,1,0,0.5653252356515109,0.4729733576732623,0.471663263683927,0.47429352054303964,0.574106966331107,0.47338367184447067,0.4706991160842901
esittäny,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
rahamarkkin,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
markkinatalous,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
ihmiskunt,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
ja säästäv,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
säästäv sama,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
sama planeet,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
planeet seuraav,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
seuraav sukupolv,0,0,0,0,1,1,0,0.5653252356515109,0.4729733576732623,0.471663263683927,0.47429352054303964,0.574106966331107,0.47338367184447067,0.4706991160842901
sukupolv se,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
se on,0,2,0,0,0,2,2,0.3656308515556692,0.369903064791711,0.6581591359460872,0.37605905921278654,0.6942292604561717,0.371824319619761,0.6114757350727097
on meidä,0,0,1,0,1,1,0,0.5428636905705958,0.4463661295507027,0.4437835904887715,0.4489748147580188,0.5529157745194367,0.5612617555749204,0.4418830751746444
